table_id,target_column
GitTables_168448,0
GitTables_40673,0
GitTables_158063,1
GitTables_181323,1
GitTables_6694,0
GitTables_98356,3
GitTables_172981,1
GitTables_7431,0
GitTables_5879,2
GitTables_45384,3
GitTables_155205,2
GitTables_19336,2
GitTables_50436,11
GitTables_138718,0
GitTables_127453,0
GitTables_16850,5
GitTables_148213,3
GitTables_56817,0
GitTables_70575,2
GitTables_4737,0
GitTables_168023,5
GitTables_166640,0
GitTables_18045,4
GitTables_24774,1
GitTables_128019,1
GitTables_25595,0
GitTables_37487,4
GitTables_150596,11
GitTables_167011,2
GitTables_75867,8
GitTables_10890,6
GitTables_22770,0
GitTables_58855,2
GitTables_4009,12
GitTables_15577,1
GitTables_12426,0
GitTables_194030,0
GitTables_81623,3
GitTables_27081,4
GitTables_58186,14
GitTables_8771,14
GitTables_81623,0
GitTables_184383,7
GitTables_85186,0
GitTables_52132,5
GitTables_66197,2
GitTables_11733,8
GitTables_67869,7
GitTables_62679,2
GitTables_80973,6
GitTables_61318,1
GitTables_177975,7
GitTables_129544,3
GitTables_162328,1
GitTables_605,17
GitTables_53645,0
GitTables_80820,0
GitTables_105959,0
GitTables_148645,2
GitTables_57957,2
GitTables_187063,3
GitTables_38829,0
GitTables_6185,0
GitTables_12588,7
GitTables_159281,0
GitTables_27574,7
GitTables_100289,0
GitTables_55034,1
GitTables_18613,1
GitTables_30953,1
GitTables_72854,1
GitTables_202837,5
GitTables_33117,0
GitTables_44196,12
GitTables_124907,21
GitTables_67865,18
GitTables_133689,0
GitTables_26051,9
GitTables_138491,41
GitTables_2123,4
GitTables_110440,7
GitTables_161235,1
GitTables_150541,0
GitTables_734,1
GitTables_156649,3
GitTables_92687,1
GitTables_89080,0
GitTables_14529,4
GitTables_78530,2
GitTables_188708,0
GitTables_8880,0
GitTables_36459,4
GitTables_104821,0
GitTables_104567,3
GitTables_103059,3
GitTables_31440,3
GitTables_27,6
GitTables_104457,4
GitTables_116098,3
GitTables_68195,0
GitTables_204434,9
GitTables_186290,0
GitTables_195507,3
GitTables_27145,1
GitTables_41481,93
GitTables_50931,2
GitTables_37561,3
GitTables_169492,7
GitTables_22968,8
GitTables_15896,0
GitTables_162857,7
GitTables_72443,1
GitTables_22905,13
GitTables_6505,17
GitTables_165316,3
GitTables_168398,6
GitTables_72302,4
GitTables_189247,0
GitTables_66338,0
GitTables_105188,4
GitTables_124271,8
GitTables_33864,1
GitTables_3,9
GitTables_6717,1
GitTables_48618,0
GitTables_107862,0
GitTables_166271,3
GitTables_16690,1
GitTables_148107,0
GitTables_18045,1
GitTables_69899,38
GitTables_414,10
GitTables_109799,0
GitTables_3000,0
GitTables_167964,6
GitTables_88111,0
GitTables_62908,0
GitTables_148792,26
GitTables_86549,0
GitTables_45259,1
GitTables_204607,3
GitTables_97273,38
GitTables_30920,11
GitTables_48072,4
GitTables_8946,0
GitTables_32612,1
GitTables_8132,1
GitTables_7457,15
GitTables_127524,4
GitTables_122350,0
GitTables_139167,1
GitTables_28199,1
GitTables_1843,6
GitTables_64277,6
GitTables_109275,0
GitTables_169274,1
GitTables_32383,3
GitTables_66486,4
GitTables_119840,3
GitTables_148167,0
GitTables_181009,2
GitTables_66069,0
GitTables_92649,1
GitTables_139088,3
GitTables_33368,0
GitTables_12874,7
GitTables_31019,8
GitTables_3844,1
GitTables_144117,2
GitTables_49457,8
GitTables_91990,5
GitTables_2116,0
GitTables_185279,4
GitTables_101159,0
GitTables_168167,0
GitTables_19063,2
GitTables_77577,2
GitTables_51865,1
GitTables_4066,9
GitTables_106424,2
GitTables_22135,0
GitTables_67611,2
GitTables_27591,1
GitTables_27233,0
GitTables_31357,0
GitTables_76456,1
GitTables_95982,1
GitTables_195020,4
GitTables_3210,0
GitTables_159903,1
GitTables_90522,1
GitTables_23165,8
GitTables_525,6
GitTables_81009,4
GitTables_30025,0
GitTables_59465,18
GitTables_120614,2
GitTables_19758,7
GitTables_44013,7
GitTables_96554,18
GitTables_3628,82
GitTables_142771,3
GitTables_42211,20
GitTables_120300,3
GitTables_66986,0
GitTables_144310,0
GitTables_99694,3
GitTables_142532,8
GitTables_42832,33
GitTables_79209,3
GitTables_68866,2
GitTables_96563,11
GitTables_76456,0
GitTables_78872,0
GitTables_15894,2
GitTables_196155,0
GitTables_182325,3
GitTables_138305,0
GitTables_38806,2
GitTables_128533,5
GitTables_159257,2
GitTables_50951,11
GitTables_118068,0
GitTables_106175,0
GitTables_32861,5
GitTables_78495,8
GitTables_8826,5
GitTables_30321,0
GitTables_97342,0
GitTables_163473,1
GitTables_30920,44
GitTables_124271,13
GitTables_5588,13
GitTables_44736,2
GitTables_124922,0
GitTables_23794,0
GitTables_165229,5
GitTables_29343,5
GitTables_35619,15
GitTables_7319,7
GitTables_5483,33
GitTables_12357,3
GitTables_187044,6
GitTables_195321,0
GitTables_57868,0
GitTables_91275,2
GitTables_35030,2
GitTables_23585,0
GitTables_630,0
GitTables_15212,0
GitTables_9947,23
GitTables_131499,5
GitTables_4255,0
GitTables_10105,2
GitTables_117519,1
GitTables_195480,0
GitTables_90932,0
GitTables_43315,1
GitTables_79098,2
GitTables_36250,5
GitTables_56647,2
GitTables_45510,18
GitTables_10239,0
GitTables_25623,0
GitTables_26026,5
GitTables_129206,0
GitTables_101497,1
GitTables_1487,10
GitTables_103741,6
GitTables_44709,1
GitTables_55924,1
GitTables_95889,1
GitTables_199236,1
GitTables_194923,9
GitTables_36175,2
GitTables_105367,2
GitTables_6263,0
GitTables_81808,24
GitTables_72672,0
GitTables_45768,0
GitTables_81051,0
GitTables_1111,0
GitTables_23715,16
GitTables_68350,9
GitTables_184058,3
GitTables_200033,7
GitTables_48980,0
GitTables_35092,8
GitTables_88228,0
GitTables_13,1
GitTables_143508,30
GitTables_105018,22
GitTables_59202,6
GitTables_6958,2
GitTables_65004,1
GitTables_25145,0
GitTables_50650,2
GitTables_45717,5
GitTables_91128,3
GitTables_206556,3
GitTables_92937,2
GitTables_59201,0
GitTables_94209,4
GitTables_46445,9
GitTables_127878,4
GitTables_128839,70
GitTables_85106,0
GitTables_21221,3
GitTables_142357,0
GitTables_19684,0
GitTables_32383,2
GitTables_5256,0
GitTables_74535,4
GitTables_173730,1
GitTables_65771,7
GitTables_165610,0
GitTables_108039,4
GitTables_16372,3
GitTables_86453,9
GitTables_104567,4
GitTables_14879,7
GitTables_51003,1
GitTables_48874,0
GitTables_22251,3
GitTables_128967,4
GitTables_70690,0
GitTables_28542,3
GitTables_35811,0
GitTables_14023,2
GitTables_15577,0
GitTables_114743,2
GitTables_1968,21
GitTables_49808,10
GitTables_5164,8
GitTables_30953,2
GitTables_27026,0
GitTables_157486,10
GitTables_35486,3
GitTables_69793,1
GitTables_143473,4
GitTables_75163,0
GitTables_36687,9
GitTables_650,2
GitTables_16065,0
GitTables_186549,0
GitTables_53549,1
GitTables_181765,3
GitTables_10668,16
GitTables_129431,0
GitTables_7739,3
GitTables_127154,4
GitTables_24437,3
GitTables_2433,0
GitTables_78719,0
GitTables_191380,5
GitTables_42147,3
GitTables_24897,0
GitTables_88127,8
GitTables_11728,7
GitTables_83606,5
GitTables_96686,1
GitTables_40453,1
GitTables_11781,6
GitTables_100658,15
GitTables_23543,3
GitTables_7323,3
GitTables_205506,1
GitTables_127288,1
GitTables_71807,1
GitTables_138491,43
GitTables_427,1
GitTables_27526,2
GitTables_108405,0
GitTables_831,2
GitTables_91813,2
GitTables_23861,3
GitTables_150224,0
GitTables_41486,27
GitTables_69575,0
GitTables_47627,25
GitTables_5076,0
GitTables_43703,0
GitTables_81775,0
GitTables_1505,3
GitTables_67334,1
GitTables_117248,2
GitTables_73359,0
GitTables_72362,2
GitTables_204721,1
GitTables_86684,8
GitTables_63124,4
GitTables_83744,18
GitTables_195936,7
GitTables_43037,0
GitTables_2383,10
GitTables_11572,1
GitTables_138589,1
GitTables_195781,5
GitTables_96419,9
GitTables_124927,0
GitTables_113840,1
GitTables_12981,0
GitTables_127992,15
GitTables_49196,0
GitTables_120422,4
GitTables_203347,0
GitTables_62994,0
GitTables_14590,5
GitTables_2639,0
GitTables_23031,1
GitTables_10734,3
GitTables_90459,2
GitTables_111036,38
GitTables_118478,11
GitTables_23031,0
GitTables_91951,5
GitTables_8710,0
GitTables_38142,6
GitTables_1059,1
GitTables_25433,1
GitTables_85381,4
GitTables_30723,48
GitTables_71880,2
GitTables_124483,0
GitTables_203653,0
GitTables_35848,2
GitTables_3053,0
GitTables_133206,2
GitTables_15524,0
GitTables_76067,4
GitTables_447,2
GitTables_141944,2
GitTables_107386,0
GitTables_131546,87
GitTables_169960,0
GitTables_4066,0
GitTables_159873,0
GitTables_605,6
GitTables_172898,0
GitTables_81953,4
GitTables_31616,10
GitTables_34038,1
GitTables_156025,2
GitTables_71840,9
GitTables_25623,8
GitTables_91776,13
GitTables_9868,2
GitTables_10105,1
GitTables_19283,0
GitTables_4085,0
GitTables_6692,1
GitTables_137865,0
GitTables_6346,16
GitTables_2569,0
GitTables_2828,2
GitTables_13055,1
GitTables_37899,5
GitTables_197392,3
GitTables_109887,1
GitTables_35036,1
GitTables_171897,10
GitTables_20358,3
GitTables_56603,1
GitTables_26051,1
GitTables_58325,0
GitTables_32532,1
GitTables_92368,4
GitTables_62679,3
GitTables_10890,7
GitTables_36043,3
GitTables_177262,3
GitTables_17000,7
GitTables_43152,46
GitTables_181426,4
GitTables_32604,0
GitTables_175288,5
GitTables_249,3
GitTables_19644,17
GitTables_147681,1
GitTables_169960,4
GitTables_1505,1
GitTables_21474,10
GitTables_28498,1
GitTables_133627,5
GitTables_173990,14
GitTables_13055,4
GitTables_205611,5
GitTables_44668,6
GitTables_58577,6
GitTables_196615,1
GitTables_190305,1
GitTables_17349,0
GitTables_160837,0
GitTables_194923,0
GitTables_105015,2
GitTables_86452,3
GitTables_12970,0
GitTables_7082,5
GitTables_44942,0
GitTables_19644,18
GitTables_23610,1
GitTables_13615,5
GitTables_112070,1
GitTables_39569,0
GitTables_186488,1
GitTables_172446,0
GitTables_123016,11
GitTables_33529,13
GitTables_3048,3
GitTables_141628,2
GitTables_5337,13
GitTables_65984,3
GitTables_201824,0
GitTables_20725,7
GitTables_5840,1
GitTables_177765,3
GitTables_158879,0
GitTables_43989,0
GitTables_9591,0
GitTables_177765,0
GitTables_7097,0
GitTables_38702,1
GitTables_2389,4
GitTables_1669,0
GitTables_47216,2
GitTables_124784,21
GitTables_15617,31
GitTables_149877,0
GitTables_72253,0
GitTables_152270,3
GitTables_10130,11
GitTables_28148,4
GitTables_1456,2
GitTables_70718,0
GitTables_157663,3
GitTables_18543,5
GitTables_55644,2
GitTables_128418,0
GitTables_116239,5
GitTables_171521,5
GitTables_8929,8
GitTables_3328,2
GitTables_2219,0
GitTables_182491,5
GitTables_6717,0
GitTables_79445,0
GitTables_32604,1
GitTables_17945,1
GitTables_127854,13
GitTables_35,1
GitTables_21332,10
GitTables_117317,7
GitTables_187167,0
GitTables_70945,20
GitTables_139761,1
GitTables_200424,1
GitTables_86437,18
GitTables_157187,3
GitTables_165434,4
GitTables_77246,11
GitTables_178484,13
GitTables_104052,8
GitTables_8350,10
GitTables_9264,1
GitTables_142929,1
GitTables_154290,1
GitTables_30723,36
GitTables_165821,6
GitTables_91128,13
GitTables_138845,45
GitTables_173078,4
GitTables_35445,0
GitTables_191171,3
GitTables_14701,7
GitTables_62969,14
GitTables_146310,7
GitTables_138155,2
GitTables_59201,10
GitTables_186948,3
GitTables_49552,2
GitTables_121296,12
GitTables_55073,16
GitTables_117301,7
GitTables_46317,5
GitTables_6401,2
GitTables_134806,1
GitTables_61,1
GitTables_67392,0
GitTables_80894,0
GitTables_91384,2
GitTables_18092,0
GitTables_8026,4
GitTables_50650,1
GitTables_206174,1
GitTables_62963,3
GitTables_16414,3
GitTables_135719,1
GitTables_109371,0
GitTables_183820,0
GitTables_57347,3
GitTables_127154,1
GitTables_112810,0
GitTables_135904,10
GitTables_54047,6
GitTables_7788,5
GitTables_153683,5
GitTables_200486,0
GitTables_69532,3
GitTables_169746,12
GitTables_198218,0
GitTables_137789,1
GitTables_50195,11
GitTables_23341,7
GitTables_149453,0
GitTables_487,1
GitTables_19701,0
GitTables_112153,3
GitTables_101497,0
GitTables_193566,10
GitTables_128019,5
GitTables_45035,1
GitTables_33845,0
GitTables_1517,13
GitTables_5483,5
GitTables_20683,3
GitTables_76970,0
GitTables_128439,6
GitTables_205506,3
GitTables_64349,2
GitTables_177975,2
GitTables_16033,3
GitTables_162328,11
